Image,Predicted_Label,Confidence(%)
../../dataSet\Test_Images\150.tif,Canon220,100.0
../../dataSet\Test_Images\300.tif,Canon220,100.0
../../dataSet\Test_Images\s10_1.tif,EpsonV550,99.97493743896484
../../dataSet\Test_Images\s10_2.tif,EpsonV550,99.98637390136719
../../dataSet\Test_Images\s10_3.tif,EpsonV550,99.99713897705078
../../dataSet\Test_Images\s10_4.tif,EpsonV550,99.99700927734375
../../dataSet\Test_Images\s10_5.tif,EpsonV550,98.91481018066406
../../dataSet\Test_Images\s11_1.tif,HP,99.99775695800781
../../dataSet\Test_Images\s11_2.tif,HP,99.99251556396484
../../dataSet\Test_Images\s11_3.tif,HP,99.95111083984375
../../dataSet\Test_Images\s11_4.tif,HP,99.9716796875
../../dataSet\Test_Images\s11_5.tif,HP,99.7616195678711
../../dataSet\Test_Images\s2_1.tif,HP,92.51544952392578
../../dataSet\Test_Images\s2_2.tif,HP,93.04235076904297
../../dataSet\Test_Images\s2_3.tif,HP,45.07435607910156
../../dataSet\Test_Images\s2_4.tif,HP,93.33527374267578
../../dataSet\Test_Images\s2_5.tif,HP,98.40225982666016
../../dataSet\Test_Images\s6_1.tif,EpsonV370-1,99.71248626708984
../../dataSet\Test_Images\s6_2.tif,EpsonV370-1,99.88683319091797
../../dataSet\Test_Images\s6_3.tif,EpsonV370-1,92.01538848876953
../../dataSet\Test_Images\s6_4.tif,EpsonV370-1,99.93424987792969
../../dataSet\Test_Images\s6_5.tif,EpsonV370-2,68.51802825927734
../../dataSet\Test_Images\s9_1.tif,HP,99.99816131591797
../../dataSet\Test_Images\s9_2.tif,HP,99.88653564453125
../../dataSet\Test_Images\s9_4.tif,HP,40.09000015258789
../../dataSet\Test_Images\s9_5.tif,HP,96.4965591430664
